time,likes,comments,reactions,reaction_count,image,video,link,text,shares,post_url,topic,processed_text,engagement
2023-11-28 06:15:00,2800,67,"{'like': 2800, 'love': 323, 'care': 113, 'haha':0, 'wow': 40,'sad':253,'angry':12}",3500,,https://scontent.fhan14-2.fna.fbcdn.net/v/t42.1790-2/405274195_314640558181314_8816362127736519239_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=m4lrTHTeKtUAX_MkT3Y&_nc_rml=0&_nc_ht=scontent.fhan14-2.fna&oh=00_ ,,"The pronghorn's annual migration route has existed since prehistoric times, but modern developments have made the journey more difficult.",286,https://facebook.com/natgeo/posts/897234058440692,Travel,pronghorn annual migrat rout exist sinc prehistor time modern develop made journey difficult,3853
2023-11-28 04:23:00,675,292,"{'like': 675, 'love': 9, 'care': 27, 'haha':2, 'wow': 74,'sad':19,'angry':2}",807,,,https://www.nationalgeographic.com/premium/article/frozen-shoulder-menopause-hormones,The painful affliction known as adhesive capsulitis can last for years-but has long been ignored by medical researchers who doubted its existence. New treatments may finally promise a cure. ~ NATIONALGEOGRAPHIC.COM Frozen shoulder is a real condition-and it mostly affects women,139,https://facebook.com/natgeo/posts/897234058440692,Science,pain afflict known adhes capsul last long ignor medic research doubt exist new treatment may final promis cure frozen shoulder real mostli affect women,1238
2023-11-28 02:15:00,732,7,"{'like': 732, 'love': 54, 'care': 4, 'haha':0, 'wow': 5,'sad':0,'angry':1}",795,,,https://www.nationalgeographic.com/travel/article/what-its-like-to-visit-the-swiss-mountains-in-winter,"Clean, efficient, and spectacularly beautiful, many Swiss ski resorts began life as mountain towns where winter sports were a way of life. ~ NATIONALGEOGRAPHIC.COM What it's liek to vist the Swiss mountains in winter",24,https://facebook.com/natgeo/posts/897234058440692,Travel,clean effici spectacularli beauti mani swiss ski resort began life mountain town winter sport way life liek vist swiss mountain winter,826
2023-11-28 00:15:00,5100,109,"{'like': 5100, 'love': 1000, 'care': 544, 'haha':7, 'wow': 23,'sad':86,'angry':2}",6800,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/404671332_896385718525526_7445082065366036712_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=dJEWXCnhX5oAX-UcHMJ&tn=zl8CM8dkYkrsNiwA&_nc_ht=scontent.,,,"A lost baby elephant calls for its mother in Samburu National Reserve, Kenya in this image from our archives.",251,https://facebook.com/natgeo/posts/897234058440692,Travel,lost babi eleph call mother samburu nation reserv kenya imag archiv,7160
2023-11-27 21:15:00,1700,59,"{'like': 1700, 'love': 296, 'care': 11, 'haha':0, 'wow': 47,'sad':0,'angry':0}",2100,,,https://www.nationalgeographic.com/animals/article/betta-fish-photography-bangkok-visarute-angkatavanich,"A twirling dancer, a bird in flight? Through a photographer's lens, this popular pet becomes a fantasy in fins. ~ NATIONALGEOGRAPHIC.COM See the flamboyant grandeur of the common betta fish",109,https://facebook.com/natgeo/posts/897234058440692,Animals,twirl dancer bird flight photograph len popular pet becom fantasi fin see flamboy grandeur common betta fish,2268
2023-11-27 18:15:00,594,22,"{'like': 594, 'love': 41, 'care': 1, 'haha':3, 'wow': 0,'sad':0,'angry':0}",638,,,https://www.nationalgeographic.com/travel/article/guide-los-angeles-california-latin-american-roots,"Los Angeles has roots in Latin America and is shaped by its influence at every turn. Here's how to explore it. ~ NATIONALGEOGRAPHIC.COM A guide to Los Angeles, the cinematic Califronian city with Latin American roots",16,https://facebook.com/natgeo/posts/897234058440692,Travel,lo angel root latin america shape influenc everi turn explor guid lo angel cinemat califronian citi latin american root,676
2023-11-27 12:15:00,630,410,"{'like': 630, 'love': 17, 'care': 23, 'haha':73, 'wow': 23,'sad':228,'angry':2}",995,,,https://www.nationalgeographic.com/premium/article/svalbard-climate-change-seasons-photography-feature,"Melting fjords, increasing avalanches, imperiled wildlife. Our photographer documented the effects of climate change through all four seasons in Svalbard, Norway. ~ NATIONALGEOGRAPHIC.COM See what a year looks like in Svalbard, Norway, the fastes-warming place on Earth",54,https://facebook.com/natgeo/posts/897234058440692,Environment,melt fjord increas avalanch imperil wildlif photograph document effect climat chang four season svalbard norway see year look like svalbard norway place earth,1459
2023-11-27 09:15:00,406,8,"{'like': 406, 'love': 10, 'care': 0, 'haha':0, 'wow': 1,'sad':0,'angry':0}",416,,,https://www.nationalgeographic.com/travel/article/national-geographic-traveller-uk-hotel-awards-2023,"National Geographic Traveller UK scoured the planet to bring you the best new and improved hotels, from a beachside pad in Sri Lanka to a mountain lodge in Norway.",7,https://facebook.com/natgeo/posts/897234058440692,Travel,nation geograph travel uk scour planet bring best new improv hotel beachsid pad sri lanka mountain lodg norway,431
2023-11-27 06:15:00,9700,306,"{'like': 9700, 'love': 1700, 'care': 110, 'haha':114, 'wow': 1400,'sad':4,'angry':1}",13000,,https://scontent.fhan14-2.fna.fbcdn.net/v/t42.1790-2/405274195_314640558181314_8816362127736519239_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJ2ZW5jb2RlX3RhZyI6InN2ZV9zZCJ9&_nc_ohc=m4lrTHTeKtUAX_MkT3Y&_nc_rml=0&_nc_ht=scontent.fhan14-2.fna&oh=00_ ,,Listen: The grasshopper mouse howls at night-like a wolf.,1600,https://facebook.com/natgeo/posts/897234058440692,Animals,listen grasshopp mous howl wolf,14906
2023-11-27 03:15:00,844,22,"{'like': 844, 'love': 87, 'care': 4, 'haha':0, 'wow': 1,'sad':0,'angry':0}",935,,,https://www.nationalgeographic.com/photography/article/how-to-take-photos-underwater,Jennifer Hayes came to photography through science: the desire to sway people toward conservation. Here's her advice for creating powerful imagery under the sea. ~ NATIONALGEOGRAPHIC.COM How to take photos underwater. Jennifer Hayes came to photography through science,21,https://facebook.com/natgeo/posts/897234058440692,Photography,jennif hay came photographi scienc desir sway peopl toward conserv advic creat power imageri sea take photo underwat jennif hay came photographi scienc,978
2023-11-27 00:15:00,8400,207,"{'like': 8400, 'love': 1700, 'care': 81, 'haha':5, 'wow': 139,'sad':3,'angry':1}",10000,https://scontent.fhan14-4.fna.fbcdn.net/v/t39.30808-6/404671332_896385718525526_7445082065366036712_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=5f2048&efg=eyJpIjoidCJ9&_nc_ohc=dJEWXCnhX5oAX-UcHMJ&tn=zl8CM8dkYkrsNiwA&_nc_ht=scontent.,,,"A grizzly bear on the move in the Yellowstone National Park, Wyoming.",517,https://facebook.com/natgeo/posts/897234058440692,Travel,grizzli bear move yellowston nation park wyom,10724
